DatasetFor,Type,Dataset Title,JHURL,schemeID,file_title
Assam Rifles,Scheme,Union budget data for Assam Rifles (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-assam-rifles,P6,
Border Area Development Program,Scheme,Union budget data for Border Area Development Program (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-border-area-development-program,P42,
Border Security Force,Scheme,Union budget data for Border Security Force (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-border-security-force,P3,
"BSF Air Wing, Aircrafts, River Boats and Helibase",Scheme,"Union budget data for BSF Air Wing, Aircrafts, River Boats and Helibase (2016-17 to 2022-23)",https://justicehub.in/dataset/groups/union-budget-data-for-bsf-air-wing-aircrafts-river-boats-and-helibase,P17,
Departmental Accounting,Scheme,Union budget data for CAPF - Departmental Accounting (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-capf-departmental-accounting,P8,
Central Industrial Security Force,Scheme,Union budget data for Central Industrial Security Force (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-central-industrial-security-force,P5,
Central Police Organisations,Scheme,Union budget data for Central Police Organisations (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-central-police-organisations,P13,
Central Reserve Police Force,Scheme,Union budget data for Central Reserve Police Force (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-central-reserve-police-force,P1,
Criminology and Forensic Science,Scheme,Union budget data for Criminology and Forensic Science (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-criminology-and-forensic-science,P15,
Delhi Police,Scheme,Union budget data for Delhi Police (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-delhi-police,P12,
e-Courts Phase II,Scheme,Union budget data for e-Courts Phase II (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-e-courts-phase-ii,L6,
"Education, Training and Research",Scheme,"Union budget data for Education, Training and Research - Department of Police (2016-17 to 2022-23)",https://justicehub.in/dataset/groups/union-budget-data-for-education-training-and-research-department-of-police,P14,
EVMs for Election Commission,Scheme,Union budget data for EVMs for Election Commission (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-evms-for-election-commission,L22,
Gram Nyayalayas,Scheme,Union budget data for Gram Nyayalayas (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-gram-nyayalayas,L15,
Home for Widows,Scheme,Union budget data for Home for Widows (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-home-for-widows,W9,
Identity Cards to Voters,Scheme,Union budget data for Identity Cards to Voters (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-identity-cards-to-voters,L20,
Indian Law Institute (ILI),Scheme,Union budget data for Indian Law Institute (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-indian-law-institute,L12,
Indo-Tibetan Border Police,Scheme,Union budget data for Indo-Tibetan Border Police (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-indo-tibetan-border-police,P4,
Infrastructure Facilities for Judiciary,Scheme,Union budget data for Infrastructure Facilities for Judiciary (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-infrastructure-facilities-for-judiciary,L16,
Intelligence Bureau,Scheme,Union budget data for Intelligence Bureau (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-intelligence-bureau,P9,
Lok Sabha Elections,Scheme,Union budget data for Lok Sabha Elections (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-lok-sabha-elections,L19,
Mahila Police Volunteers,Scheme,Union budget data for Mahila Police Volunteers (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-mahila-police-volunteers,W8,
Modernisation of State Police Forces and CCTNS,Scheme,Union budget data for Modernisation of State Police Forces and CCTNS (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-modernisation-of-state-police-forces-and-cctns,P40,
National Commission for Protection of Child Rights (NCPCR),Scheme,Union budget data for National Commission for Protection of Child Rights (NCPCR) (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-national-commission-for-protection-of-child-rights,W1,
National Commission for Women,Scheme,Union budget data for National Commission for Women (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-national-commission-for-women,W2,
National Human Right Commission (NHRC),Scheme,Union budget data for National Human Right Commission (NHRC) (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-national-human-right-commission,H2,
National Intelligence Grid,Scheme,Union budget data for National Intelligence Grid (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-national-intelligence-grid,P10,
National Judicial Academy,Scheme,Union budget data for National Judicial Academy (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-national-judicial-academy,L10,
National Legal Services Authority,Scheme,Union budget data for National Legal Services Authority (2016-17 to 2022-23),https://justicehub.in/dataset/union-budget-data-for-national-legal-services-authority,L11,
National Security Guard,Scheme,Union budget data for National Security Guard (2016-17 to 2022-23),https://justicehub.in/dataset/union-budget-data-for-national-security-guard,P2,
One Stop Center,Scheme,Union budget data for One Stop Center (2016-17 to 2020-21),https://justicehub.in/dataset/groups/union-budget-data-for-one-stop-center,W4,
Other Election Expenses,Scheme,Union budget data for Other Election Expenses (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-other-election-expenses,L21,
Building Projects of CAPFs and Central Police Organisations,Scheme,Union budget data for Building Projects of CAPFs and Central Police Organisations (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-building-projects-of-capfs-and-central-police-organisations,P20,
