DatasetFor,Type,Dataset Title,JHURL,schemeID,file_title
Assam Rifles,Scheme,Union budget data for Assam Rifles (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-assam-rifles,P6,scheme-assam-rifles.csv
Border Area Development Program,Scheme,Union budget data for Border Area Development Program (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-border-area-development-program,P42,scheme-border-area-development.csv
Border Security Force,Scheme,Union budget data for Border Security Force (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-border-security-force,P3,scheme-border-security.csv
"BSF Air Wing, Aircrafts, River Boats and Helibase",Scheme,"Union budget data for BSF Air Wing, Aircrafts, River Boats and Helibase (2016-17 to 2022-23)",https://justicehub.in/dataset/groups/union-budget-data-for-bsf-air-wing-aircrafts-river-boats-and-helibase,P17,scheme-bsf-airwing-aircraft.csv
Departmental Accounting,Scheme,Union budget data for CAPF - Departmental Accounting (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-capf-departmental-accounting,P8,scheme-capf-departmental-accounting.csv
Central Industrial Security Force,Scheme,Union budget data for Central Industrial Security Force (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-central-industrial-security-force,P5,scheme-cisf.csv
Central Police Organisations,Scheme,Union budget data for Central Police Organisations (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-central-police-organisations,P13,scheme-cpo.csv
Central Reserve Police Force,Scheme,Union budget data for Central Reserve Police Force (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-central-reserve-police-force,P1,scheme-crpf.csv
Criminology and Forensic Science,Scheme,Union budget data for Criminology and Forensic Science (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-criminology-and-forensic-science,P15,scheme-criminology-forensic.csv
Delhi Police,Scheme,Union budget data for Delhi Police (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-delhi-police,P12,scheme-delhi-police.csv
e-Courts Phase II,Scheme,Union budget data for e-Courts Phase II (2016-17 to 2022-23),https://justicehub.in/dataset/groups/union-budget-data-for-e-courts-phase-ii,L6,scheme-ecourts.csv
"Education, Training and Research",Scheme,"Union budget data for Education, Training and Research - Department of Police (2016-17 to 2022-23)",https://justicehub.in/dataset/groups/union-budget-data-for-education-training-and-research-department-of-police,P14,scheme-education-training-research-police.csv
